,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 31, 2021 - 12:00 BRTWorld's Edge Team Ravens Team Cerberus Blagueur","Round 1 Round 1 October 31, 2021 - 12:00 BRTWorld's Edge Team Ravens Team Cerberus Blagueur","Round 2 Round 2 October 31, 2021 - 12:35 BRTWorld's Edge Lovely Venom BrazilianTopTeam AsheTeam","Round 2 Round 2 October 31, 2021 - 12:35 BRTWorld's Edge Lovely Venom BrazilianTopTeam AsheTeam","Round 3 Round 3 October 31, 2021 - 13:10 BRTWorld's Edge Team RavensMissing: blagueuer Sobek","Round 3 Round 3 October 31, 2021 - 13:10 BRTWorld's Edge Team RavensMissing: blagueuer Sobek","Round 4 Round 4 October 31, 2021 - 13:45 BRTWorld's Edge Blagueur CerditosMacabeos Lovely Venom","Round 4 Round 4 October 31, 2021 - 13:45 BRTWorld's Edge Blagueur CerditosMacabeos Lovely Venom","Round 5 Round 5 October 31, 2021 - 14:20 BRTWorld's Edge Lovely Venom Blagueur Ragnarok Team","Round 5 Round 5 October 31, 2021 - 14:20 BRTWorld's Edge Lovely Venom Blagueur Ragnarok Team","Round 6 Round 6 October 31, 2021 - 14:55 BRTWorld's EdgeMissing: sunset ravens Ragnarok Team Blagueur","Round 6 Round 6 October 31, 2021 - 14:55 BRTWorld's EdgeMissing: sunset ravens Ragnarok Team Blagueur"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,Blagueur,115,3,12,4,16,2,20,1,10,2,2,3,6
1,2.0,Lovely Venom,78,4,5,1,13,7,3,3,3,1,14,14,0
2,3.0,CerditosMacabeos,54,15,1,16,0,11,4,2,21,6,12,17,2
3,4.0,SST,50,19,1,11,3,20,1,12,1,5,9,1,17
4,5.0,TCS,50,2,14,6,0,4,2,18,0,12,8,10,6
5,6.0,RAV,48,1,6,17,0,1,6,6,2,4,0,9,0
6,7.0,BrazilianTopTeam,39,7,2,2,9,12,3,7,2,8,5,18,0
7,8.0,AsheTeam,28,13,1,3,1,9,1,4,2,20,0,8,6
8,9.0,Ragnarok Team,28,18,0,7,1,5,0,19,0,3,4,2,0
9,10.0,UltiMaTuM,25,9,4,5,4,19,0,14,0,13,0,6,6
10,11.0,Chimera,24,12,9,8,5,17,0,10,5,18,0,16,0
11,12.0,NE1,21,6,1,9,2,14,3,8,2,10,1,11,1
12,13.0,KDT - Amber,20,16,1,20,0,18,1,9,3,15,1,13,10
13,14.0,TBG,18,5,2,15,3,13,0,13,3,11,1,15,0
14,15.0,Sobek,17,17,1,10,0,3,5,20,1,16,0,12,0
15,16.0,FourG Team,15,11,0,13,2,8,0,11,3,17,0,4,0
16,17.0,GUG,12,8,0,12,0,16,0,15,0,7,0,5,1
17,18.0,Mafia Legends,12,14,1,14,0,6,0,5,0,9,0,19,0
18,19.0,Seven,9,20,0,19,0,10,2,16,1,19,0,7,1
19,20.0,OSO,8,10,0,18,0,15,2,17,1,14,1,20,0
