,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 September 26, 2021 - 12:00 BRTWorld's Edge Union eSports Br ZETTA BreakingRulleZ","Round 1 Round 1 September 26, 2021 - 12:00 BRTWorld's Edge Union eSports Br ZETTA BreakingRulleZ","Round 2 Round 2 September 26, 2021 - 12:35 BRTWorld's Edge OnlyFlans Tekila Slav Animals","Round 2 Round 2 September 26, 2021 - 12:35 BRTWorld's Edge OnlyFlans Tekila Slav Animals","Round 3 Round 3 September 26, 2021 - 13:10 BRTWorld's Edge OnlyFlans BreakingRulleZ Natural Killer","Round 3 Round 3 September 26, 2021 - 13:10 BRTWorld's Edge OnlyFlans BreakingRulleZ Natural Killer","Round 4 Round 4 September 26, 2021 - 13:45 BRTWorld's Edge Kaizen Esports Slav Animals Most Valuable","Round 4 Round 4 September 26, 2021 - 13:45 BRTWorld's Edge Kaizen Esports Slav Animals Most Valuable","Round 5 Round 5 September 26, 2021 - 14:20 BRTWorld's Edge Natural Killer Most Valuable BreakingRulleZ","Round 5 Round 5 September 26, 2021 - 14:20 BRTWorld's Edge Natural Killer Most Valuable BreakingRulleZ","Round 6 Round 6 September 26, 2021 - 14:55 BRTWorld's Edge Slav Animals Love Egirls MonsTer Team","Round 6 Round 6 September 26, 2021 - 14:55 BRTWorld's Edge Slav Animals Love Egirls MonsTer Team"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,MVP,69,12,1,4,10,5,0,3,12,2,13,5,3
1,2.0,OF,65,7,4,1,12,1,8,10,0,4,5,10,0
2,3.0,Slav Animals,54,11,1,3,4,4,3,2,8,17,1,1,3
3,4.0,TK,52,8,12,2,4,10,1,13,4,5,7,8,4
4,5.0,BRZ,51,3,6,15,2,2,8,9,1,3,5,7,0
5,6.0,ZETTA,43,2,0,7,4,9,6,8,7,6,0,4,2
6,7.0,USB,36,1,8,9,0,15,0,11,0,8,1,6,6
7,8.0,MonsTer Team,34,6,0,18,0,12,5,6,3,13,0,3,11
8,9.0,Natural Killer,34,15,0,16,1,3,2,15,1,1,8,11,0
9,10.0,KZN,34,9,0,5,3,14,0,1,8,7,0,15,0
10,11.0,Love Egirls,32,16,2,14,0,8,6,17,0,11,3,2,8
11,12.0,BTH,26,4,3,10,4,13,0,7,0,12,0,12,6
12,13.0,Duty calls,24,17,0,6,8,16,3,18,0,14,3,9,4
13,14.0,AIM,23,20,0,8,5,7,5,14,2,10,1,13,1
14,15.0,Team seven,14,14,1,11,0,18,0,5,3,9,1,14,0
15,16.0,SLU,13,5,6,13,0,11,1,16,0,20,0,20,0
16,17.0,BHT,13,10,1,17,0,6,2,4,0,16,0,16,0
17,18.0,ROCKETZ TEAM,9,13,4,12,0,17,0,12,0,15,1,17,0
18,19.0,LIONS,0,18,0,19,0,19,0,20,0,20,0,20,0
19,20.0,SST,0,20,0,20,0,20,0,20,0,20,0,20,0
