,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 10, 2021 - 12:00 SGTWorld's Edge MDY XSpark AFTERMATH Gaming Taiwan","Round 1 Round 1 October 10, 2021 - 12:00 SGTWorld's Edge MDY XSpark AFTERMATH Gaming Taiwan","Round 2 Round 2 October 10, 2021 - 12:35 SGTWorld's Edge WGGxPK Perangai Esport Estrell","Round 2 Round 2 October 10, 2021 - 12:35 SGTWorld's Edge WGGxPK Perangai Esport Estrell","Round 3 Round 3 October 10, 2021 - 13:10 SGTWorld's Edge Powerless MDY SnG","Round 3 Round 3 October 10, 2021 - 13:10 SGTWorld's Edge Powerless MDY SnG","Round 4 Round 4 October 10, 2021 - 13:45 SGTWorld's Edge DNZ Job Seekers Estrell","Round 4 Round 4 October 10, 2021 - 13:45 SGTWorld's Edge DNZ Job Seekers Estrell","Round 5 Round 5 October 10, 2021 - 14:20 SGTWorld's Edge We Are Trash Estrell WGGxPK","Round 5 Round 5 October 10, 2021 - 14:20 SGTWorld's Edge We Are Trash Estrell WGGxPK","Round 6 Round 6 October 10, 2021 - 14:55 SGTWorld's Edge WGGxPK SnG XSpark","Round 6 Round 6 October 10, 2021 - 14:55 SGTWorld's Edge WGGxPK SnG XSpark"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,WGGxPK,72,4,7,1,10,18,0,6,8,3,3,1,5
1,2.0,MDY,58,1,6,7,6,2,9,14,1,8,4,11,4
2,3.0,WAT,50,7,3,18,1,6,3,5,6,1,9,15,5
3,4.0,AMG TW,50,3,11,11,6,5,8,16,0,10,6,7,2
4,5.0,PG,47,8,4,2,7,4,1,7,5,11,0,4,5
5,6.0,SNG,43,10,2,12,0,3,6,10,1,13,3,2,9
6,7.0,DNZ,42,18,2,20,0,20,0,1,11,5,11,18,2
7,8.0,TX,41,2,5,9,2,17,0,17,0,16,3,3,13
8,9.0,Estrell,36,20,0,3,3,14,3,3,2,2,0,5,0
9,10.0,PWLS,32,19,1,13,7,1,11,19,0,20,0,20,0
10,11.0,RL.XV,31,5,2,15,0,16,4,9,1,6,8,9,4
11,12.0,HOPE,29,6,5,5,0,10,3,11,4,14,4,8,0
12,13.0,Job Seekers,28,11,0,19,0,9,2,2,5,4,4,16,0
13,14.0,MBTN,22,12,3,10,0,15,0,4,9,17,0,14,0
14,15.0,INF,22,9,2,4,6,11,0,13,2,9,0,13,0
15,16.0,QE.NY,21,13,2,6,1,8,1,12,1,7,2,12,3
16,17.0,AU Skyrise,14,14,0,8,2,12,4,8,2,18,0,19,0
17,18.0,IFPD,12,16,0,14,3,7,3,15,0,15,0,17,0
18,19.0,EVO BERZ,6,15,1,16,0,13,0,20,0,19,0,10,1
19,20.0,LAG,5,17,0,17,0,19,0,18,0,12,0,6,1
