Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,TK,59,111,0,112,1919,92,55,37,1313
2.0,ZETTA,55,37,44,37,33,112,1313,45,44
3.0,sFx,48,29,1212,73,0,54,22,112,66
4.0,KARMA K41,29,54,11,54,44,45,55,63,33
5.0,Os MIAU,27,45,0,29,22,82,0,29,0
6.0,ROCKETZ TEAM,26,82,22,45,11,37,44,102,33
7.0,Team wascka,24,112,77,92,11,111,0,111,0
8.0,Nagga 5,18,63,11,82,0,29,0,73,0
9.0,Thirsty For Kill,13,92,0,63,0,73,11,54,0
10.0,1crack2crack,9,102,0,102,0,63,0,82,0
11.0,SEQL,8,73,0,111,0,102,0,92,0
