,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 10, 2021 - 14:00 BSTWorld's Edge Ethernal Rats Illuminari","Round 1 Round 1 October 10, 2021 - 14:00 BSTWorld's Edge Ethernal Rats Illuminari","Round 2 Round 2 October 10, 2021 - 14:35 BSTWorld's Edge dead inside Moanerz EU 3 Jabronies","Round 2 Round 2 October 10, 2021 - 14:35 BSTWorld's Edge dead inside Moanerz EU 3 Jabronies","Round 3 Round 3 October 10, 2021 - 15:10 BSTWorld's Edge Top Dogs 3 Jabronies NoFear Gaming","Round 3 Round 3 October 10, 2021 - 15:10 BSTWorld's Edge Top Dogs 3 Jabronies NoFear Gaming","Round 4 Round 4 October 10, 2021 - 15:45 BSTWorld's Edge Top Dogs UpRising dead inside","Round 4 Round 4 October 10, 2021 - 15:45 BSTWorld's Edge Top Dogs UpRising dead inside","Round 5 Round 5 October 10, 2021 - 16:20 BSTWorld's Edge 3 Jabronies Three Friends NoFear Gaming","Round 5 Round 5 October 10, 2021 - 16:20 BSTWorld's Edge 3 Jabronies Three Friends NoFear Gaming","Round 6 Round 6 October 10, 2021 - 16:55 BSTWorld's Edge UpRising dead inside Game of Drones","Round 6 Round 6 October 10, 2021 - 16:55 BSTWorld's Edge UpRising dead inside Game of Drones"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,DI,93,7,1,1,17,7,8,3,13,14,3,2,16
1,2.0,TD,74,19,2,7,2,1,14,1,8,10,11,5,4
2,3.0,3 Jabronies,59,10,0,3,7,2,8,13,3,1,10,16,0
3,4.0,USG,45,11,4,16,1,4,1,2,2,9,0,1,8
4,5.0,GOD,43,5,12,5,5,20,0,11,1,11,2,3,6
5,6.0,NoFear,40,16,3,14,0,3,6,4,4,3,7,20,0
6,7.0,RAT,40,2,6,13,0,5,4,12,3,6,3,6,3
7,8.0,ETH,39,1,8,4,3,14,0,16,2,4,1,9,0
8,9.0,SMS,36,6,3,8,4,12,3,19,0,5,7,4,4
9,10.0,ILL,34,3,2,6,5,11,3,5,3,8,0,8,2
10,11.0,Moanerz EU,32,14,0,2,4,10,2,6,8,19,0,17,3
11,12.0,3FR,30,4,1,10,2,15,3,14,0,2,5,12,0
12,13.0,Dababy,23,18,3,19,0,16,0,7,7,12,4,7,2
13,14.0,BCG,19,12,2,9,3,6,3,18,1,15,1,10,0
14,15.0,UWU,17,8,5,11,0,13,0,9,1,18,1,11,3
15,16.0,SPPI,14,17,0,17,3,8,1,8,2,17,0,13,3
16,17.0,60fps,14,15,3,12,0,9,3,17,0,7,0,14,0
17,18.0,Explosion,11,13,3,18,0,19,0,10,0,13,3,15,0
18,19.0,Mat For Victory,4,9,1,20,0,18,0,15,0,16,0,19,0
19,20.0,Lunar,1,20,0,15,0,17,0,20,0,20,0,18,0
