Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,HE,51,1,10,7,8,6,3,4,7
2.0,YaBaL,50,7,1,2,11,4,15,6,3
3.0,IBSG,49,11,3,1,7,1,14,20,0
4.0,ENG,47,8,2,3,2,3,1,1,14
5.0,OC,33,9,1,4,8,2,4,5,0
6.0,C-VA KAG,25,5,8,13,6,9,0,12,3
7.0,ARK5,24,10,2,6,1,5,1,2,2
8.0,KaisenDONDON,23,2,5,12,2,11,4,11,0
9.0,Solid,22,18,0,17,1,15,5,3,8
10.0,ORB.G,21,3,7,20,0,12,2,8,2
11.0,RDO,19,6,1,9,8,17,0,9,3
12.0,NAT,18,14,5,16,1,7,1,7,4
13.0,LLGS,14,13,2,5,3,13,0,19,3
14.0,PiratesOfMirage,12,4,3,11,1,19,2,16,0
15.0,EXiA KR,11,12,3,14,0,14,4,14,0
16.0,NFM,10,19,1,19,0,10,1,13,5
17.0,JDT,7,20,0,15,0,16,1,10,3
18.0,Serpens,5,16,0,18,0,8,2,15,0
19.0,Lixis,4,17,0,8,2,18,0,18,0
20.0,GEMI,4,15,1,10,0,20,0,17,0
