Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,eGIRLS,112,12,3,1,12,1,17,4,8,1,15,2,6
2.0,SP,96,1,7,6,4,6,4,1,15,7,7,1,14
3.0,PVP,56,2,0,3,7,2,8,12,3,9,3,13,6
4.0,Mystical,47,10,4,7,7,3,7,2,7,16,0,15,0
5.0,MAUA,38,4,8,2,2,8,1,13,0,8,1,4,2
6.0,Os Minhauu,37,5,4,12,0,5,0,10,0,4,6,3,4
7.0,AIMC,33,8,1,4,6,4,2,9,4,15,3,8,0
8.0,HARD,30,14,4,11,2,17,2,3,6,11,2,7,1
9.0,TERM,25,7,1,10,1,7,1,18,0,2,1,10,2
10.0,DICA,21,11,6,17,1,13,3,5,2,6,0,16,0
11.0,OSO,20,13,0,14,0,11,0,6,2,13,3,6,5
12.0,TTG,20,9,0,5,4,15,0,16,0,10,3,5,0
13.0,2k ping,19,6,3,13,0,14,0,17,0,5,2,14,4
14.0,MALA,13,17,0,18,0,12,0,14,0,3,2,9,0
15.0,SFD,12,3,2,9,0,18,0,11,0,17,0,17,0
16.0,QUAS,8,15,0,8,0,16,0,7,0,14,0,12,0
17.0,RWA,6,0,0,16,0,9,1,8,0,18,1,0,0
18.0,NICA,6,16,0,15,0,10,0,15,0,12,0,11,0
19.0,LEO,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0,Tharsis,0,0,0,0,0,0,0,0,0,0,0,0,0
