,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 September 25, 2021 - 14:20 PDTWorld's Edge Optimal Ambition No Rolla Gang Hooiya","Round 1 Round 1 September 25, 2021 - 14:20 PDTWorld's Edge Optimal Ambition No Rolla Gang Hooiya","Round 2 Round 2 September 25, 2021 - 14:55 PDTWorld's Edge Kings of Chaos No Rolla Gang Soli Deo Gloria","Round 2 Round 2 September 25, 2021 - 14:55 PDTWorld's Edge Kings of Chaos No Rolla Gang Soli Deo Gloria","Round 3 Round 3 September 25, 2021 - 15:30 PDTWorld's Edge xD Chosen Legacy Hooiya","Round 3 Round 3 September 25, 2021 - 15:30 PDTWorld's Edge xD Chosen Legacy Hooiya","Round 4 Round 4 September 25, 2021 - 16:05 PDTWorld's Edge Dark Matter Soli Deo Gloria TorontoMans","Round 4 Round 4 September 25, 2021 - 16:05 PDTWorld's Edge Dark Matter Soli Deo Gloria TorontoMans"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,Dark Matter,53,4,6,4,15,0,0,1,10
1,2.0,No Rolla Gang,44,2,12,2,3,6,2,7,3
2,3.0,OA,38,1,8,5,6,14,2,4,0
3,4.0,xD,37,13,4,18,3,1,15,15,1
4,5.0,Hooiya,36,3,2,15,3,3,7,6,6
5,6.0,LM,34,10,6,10,7,7,5,8,7
6,7.0,Soli Deo Gloria,31,6,0,3,5,8,0,2,5
7,8.0,Chosen Legacy,29,9,0,11,0,2,13,12,3
8,9.0,Kings of Chaos,28,19,0,1,13,9,0,11,0
9,10.0,TorontoMans,23,14,1,12,0,10,0,3,11
10,11.0,ROT,17,12,8,13,0,17,3,5,0
11,12.0,Manifest,12,20,0,7,1,5,2,10,0
12,13.0,StunnerShades,10,8,1,8,0,12,3,14,0
13,14.0,Athena NA,10,5,2,6,0,13,0,17,0
14,15.0,PradoHouseCigar,6,11,3,19,0,18,0,9,0
15,16.0,Team combat Pros,5,7,0,14,0,15,0,20,0
16,17.0,Sad Bois,4,18,0,0,0,19,0,13,3
17,18.0,Insurgents,3,15,1,17,0,11,0,18,0
18,19.0,Club Cobra,1,16,0,16,0,16,1,16,0
19,20.0,Spartan Mafia,0,17,0,0,0,0,0,19,0
