,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 September 12, 2021 - 12:00 BSTWorld's Edge Phoenix Legacy Pepegi Ethernal","Round 1 Round 1 September 12, 2021 - 12:00 BSTWorld's Edge Phoenix Legacy Pepegi Ethernal","Round 2 Round 2 September 12, 2021 - 12:30 BSTWorld's Edge TRIHARD LegionF Mat For Victory","Round 2 Round 2 September 12, 2021 - 12:30 BSTWorld's Edge TRIHARD LegionF Mat For Victory","Round 3 Round 3 September 12, 2021 - 13:00 BSTWorld's Edge DungeonMast33rs Top Dogs KOMANDA A","Round 3 Round 3 September 12, 2021 - 13:00 BSTWorld's Edge DungeonMast33rs Top Dogs KOMANDA A","Round 4 Round 4 September 12, 2021 - 13:30 BSTWorld's Edge Top Dogs 6 banok na troih TBD","Round 4 Round 4 September 12, 2021 - 13:30 BSTWorld's Edge Top Dogs 6 banok na troih TBD"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,TD,47,5,3,11,1,2,4,1,13
1,2.0,DM,44,11,5,12,0,1,17,9,6
2,3.0,PXL,40,1,17,7,2,15,3,14,1
3,4.0,Mat For Victory,32,14,2,3,6,10,0,3,7
4,5.0,6bnt,29,16,2,5,7,7,1,2,3
5,6.0,LegionF,25,9,3,2,6,17,0,10,3
6,7.0,TRIHARD,25,13,0,1,9,11,2,17,0
7,8.0,LGN,24,18,1,8,8,4,8,18,0
8,9.0,BGR,23,10,0,17,1,5,8,4,3
9,10.0,ETH,22,3,6,16,1,9,0,5,2
10,11.0,Pepegi,21,2,3,4,3,19,0,15,0
11,12.0,Weebs Out,19,4,8,19,0,14,0,11,4
12,13.0,KOMANDA A,18,15,0,14,0,3,5,6,1
13,14.0,NotoriousFamily,17,6,3,10,3,18,0,7,3
14,15.0,3turrets1brain,15,12,0,6,4,8,4,13,0
15,16.0,GVG,10,8,2,15,0,12,0,12,3
16,17.0,WLS,6,7,0,18,0,16,1,16,2
17,18.0,Reakless,6,17,0,9,1,6,0,20,0
18,19.0,PauseChamps,4,19,0,13,0,13,0,8,0
19,20.0,edit,0,20,0,20,0,20,0,20,0
