,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 4, 2021 - 12:00 SGTWorld's Edge","Round 1 Round 1 December 4, 2021 - 12:00 SGTWorld's Edge","Round 2 Round 2 December 4, 2021 - 12:35 SGTWorld's Edge","Round 2 Round 2 December 4, 2021 - 12:35 SGTWorld's Edge","Round 3 Round 3 December 4, 2021 - 13:10 SGTWorld's Edge","Round 3 Round 3 December 4, 2021 - 13:10 SGTWorld's Edge","Round 4 Round 4 December 4, 2021 - 13:45 SGTWorld's Edge","Round 4 Round 4 December 4, 2021 - 13:45 SGTWorld's Edge"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,END,57,37,77,29,1111,131,33,29,1010
1,2.0,IFPD,48,112,1010,63,22,111,0,112,88
2,3.0,MDY.W,42,73,44,45,66,112,66,92,44
3,4.0,DVG,30,63,33,112,88,200,0,121,33
4,5.0,MXT,29,82,0,92,0,29,99,45,22
5,6.0,LVTHN,27,111,0,141,11,37,33,37,77
6,7.0,Ryz.SEA,24,102,33,131,44,54,55,63,22
7,8.0,No Mental,23,54,44,82,0,121,11,54,77
8,9.0,Juiced,23,141,0,37,44,45,55,111,0
9,10.0,OC,18,131,22,102,66,141,22,102,22
10,11.0,Soosmar slayer,18,45,55,121,11,73,33,160,0
11,12.0,Andong Society,18,92,22,73,0,63,44,73,11
12,13.0,BABYRANK,14,29,22,200,0,102,0,131,0
13,14.0,Musicz,9,121,0,54,0,92,11,151,0
14,15.0,Lags Fault,6,151,0,111,0,82,0,82,0
15,16.0,LightSaber,3,160,0,151,0,151,0,141,0
