,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 31, 2021 - 12:00 PDTWorld's Edge D A B MDL Running Late","Round 1 Round 1 October 31, 2021 - 12:00 PDTWorld's Edge D A B MDL Running Late","Round 2 Round 2 October 31, 2021 - 12:35 PDTWorld's Edge Eclectiq Team Savage D A B","Round 2 Round 2 October 31, 2021 - 12:35 PDTWorld's Edge Eclectiq Team Savage D A B","Round 3 Round 3 October 31, 2021 - 13:10 PDTWorld's Edge Eclectiq D A B DirtyDingus'","Round 3 Round 3 October 31, 2021 - 13:10 PDTWorld's Edge Eclectiq D A B DirtyDingus'","Round 4 Round 4 October 31, 2021 - 13:45 PDTWorld's Edge D A B Eclectiq JackBoyz","Round 4 Round 4 October 31, 2021 - 13:45 PDTWorld's Edge D A B Eclectiq JackBoyz"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,EQ,71,4,4,1,9,1,12,2,8
1,2.0,D A B,71,1,11,3,4,2,4,1,12
2,3.0,CCE,32,16,6,13,3,9,12,10,6
3,4.0,Sussy Bakas,32,7,0,7,4,4,6,5,7
4,5.0,MDL,32,2,4,6,6,11,2,4,2
5,6.0,NM,30,5,9,10,7,7,4,12,0
6,7.0,RL,25,3,7,12,3,6,3,14,0
7,8.0,JackBoyz,19,8,5,15,0,13,0,3,3
8,9.0,Team Savage,19,15,1,2,4,10,0,8,0
9,10.0,DirtyDingus',16,9,1,16,0,3,2,6,1
10,11.0,Never Lucky,12,19,1,8,7,16,2,17,0
11,12.0,ZooWeeMama,11,12,2,17,0,8,1,9,3
12,13.0,OutofPocketGamer,10,18,0,5,4,17,0,11,1
13,14.0,i love emo girls,10,6,0,19,0,12,0,13,5
14,15.0,ONICHAN,10,11,1,4,0,19,0,7,0
15,16.0,Undisputed,9,17,0,9,0,5,0,15,2
16,17.0,The Peeps,5,13,0,18,0,18,3,18,1
17,18.0,Wonderboys,4,10,0,11,0,15,0,16,0
18,19.0,SirRainNoody,3,14,0,14,0,14,0,19,0
19,20.0,CVS,0,20,0,20,0,20,0,20,0
