Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby
1.0,LM,82,14,7,2,17,1,26,6,7,Lobby 1
2.0,TPM,51,6,14,18,1,10,9,4,17,Lobby 1
3.0,trash,41,1,11,5,4,7,2,5,1,Lobby 1
4.0,NM,32,4,5,13,0,19,0,1,9,Lobby 1
5.0,IFE,27,2,4,20,0,2,2,7,0,Lobby 1
6.0,ChayKayJay,26,13,0,7,3,13,1,3,10,Lobby 1
7.0,ROT,23,10,0,10,4,3,6,13,1,Lobby 1
8.0,Vandals,23,12,0,1,7,9,1,16,0,Lobby 1
9.0,GNR,22,3,5,9,5,17,0,18,3,Lobby 1
10.0,ZERO,20,7,3,8,3,4,3,15,0,Lobby 1
11.0,CAS,17,15,2,4,3,5,0,9,0,Lobby 1
12.0,Must int,16,17,0,3,1,6,4,12,0,Lobby 1
13.0,MDL,15,11,3,16,0,15,0,2,1,Lobby 1
14.0,Global,12,8,0,6,4,12,0,10,0,Lobby 1
15.0,Lifted,7,9,1,15,0,11,0,8,0,Lobby 1
16.0,Undisputed,6,18,1,12,1,8,0,14,0,Lobby 1
17.0,Unit Gaming,6,5,1,19,0,15,0,19,0,Lobby 1
18.0,ReVive me pls,5,16,0,17,3,18,0,11,1,Lobby 1
19.0,SDO,4,20,1,11,0,14,0,17,1,Lobby 1
20.0,HardStuckStepsis,1,19,0,14,0,20,0,20,0,Lobby 1
1.0,RGP,46,9,1,16,0,2,19,11,14,Lobby 2
2.0,BLitLd Revengers,43,14,2,8,2,1,8,2,7,Lobby 2
3.0,WASH,43,3,5,3,6,3,8,7,0,Lobby 2
4.0,D A B,39,1,12,7,6,8,3,14,0,Lobby 2
5.0,JOYBOYS,37,2,11,5,3,14,0,5,5,Lobby 2
6.0,CHASE.OG,33,8,4,19,0,4,3,1,7,Lobby 2
7.0,RAWR,33,12,2,1,10,13,0,4,2,Lobby 2
8.0,AST,31,10,2,2,9,5,2,17,3,Lobby 2
9.0,LKM,21,13,2,15,3,9,8,6,1,Lobby 2
10.0,Apex Mobile,19,20,0,4,11,17,1,10,0,Lobby 2
11.0,GSG,15,7,4,11,2,12,2,12,1,Lobby 2
12.0,RL,15,18,0,9,1,6,0,3,2,Lobby 2
13.0,Diamond Hands,12,5,5,12,2,18,0,16,0,Lobby 2
14.0,Perpetual Empire,12,4,2,13,0,10,0,15,1,Lobby 2
15.0,Wonderboys,11,17,2,6,1,15,0,13,3,Lobby 2
16.0,LacklusterTalent,8,15,0,18,0,20,0,9,5,Lobby 2
17.0,BDS,8,16,0,10,1,19,0,8,3,Lobby 2
18.0,ActionFiveNews,7,6,1,14,1,11,0,20,0,Lobby 2
19.0,Gryphon Gaming,4,19,1,17,0,7,0,19,0,Lobby 2
20.0,T-State,2,11,0,20,0,16,1,18,0,Lobby 2
1.0,Unknown Warriors,62,12,0,1,8,3,15,2,10,Lobby 3
2.0,2R1M,34,19,0,3,1,2,3,3,7,Lobby 3
3.0,Onyx,32,5,2,2,11,8,4,16,0,Lobby 3
4.0,LF,32,1,13,6,1,7,0,20,0,Lobby 3
5.0,1MAG,31,16,1,17,0,1,13,8,3,Lobby 3
6.0,CCE,31,10,0,9,0,9,1,1,12,Lobby 3
7.0,Code Cloud,29,2,11,7,3,12,0,15,1,Lobby 3
8.0,Select,26,6,11,10,7,16,3,18,0,Lobby 3
9.0,ING,25,13,2,11,7,4,8,14,0,Lobby 3
10.0,Sussy Bakas,23,8,3,4,7,18,0,9,4,Lobby 3
11.0,SLS,22,14,5,14,3,11,0,4,6,Lobby 3
12.0,Patrón,17,3,3,8,2,10,0,11,0,Lobby 3
13.0,Exoterran X,15,4,4,12,0,19,0,5,1,Lobby 3
14.0,Dojo,13,7,1,5,1,14,2,13,0,Lobby 3
15.0,Compulsive,12,20,0,20,0,6,4,6,2,Lobby 3
16.0,VHS,10,11,0,13,0,5,0,12,3,Lobby 3
17.0,hi rollers,8,17,1,19,1,17,0,10,4,Lobby 3
18.0,ShameAssist,5,18,0,16,0,15,0,7,1,Lobby 3
19.0,Manifest,4,9,0,15,0,13,0,19,0,Lobby 3
20.0,wingBatClan,1,15,0,18,0,20,0,17,0,Lobby 3
1.0,Dark Matter,59,5,6,1,8,1,11,15,5,Lobby 4
2.0,DUMPERS,46,14,2,9,5,4,14,7,14,Lobby 4
3.0,NFC,39,3,9,12,2,12,0,1,7,Lobby 4
4.0,MoJo,39,1,5,4,8,20,0,4,4,Lobby 4
5.0,OA,33,15,0,2,7,5,10,9,0,Lobby 4
6.0,RCO,33,4,5,3,7,6,5,14,0,Lobby 4
7.0,TDG,33,8,4,5,4,2,5,5,1,Lobby 4
8.0,Never Lucky,32,20,0,8,5,18,0,2,16,Lobby 4
9.0,Meow Syndicate,29,6,0,19,0,3,6,3,6,Lobby 4
10.0,CIMJ,19,9,5,7,0,8,2,8,3,Lobby 4
11.0,Boston Monsters,19,2,8,13,0,19,0,11,0,Lobby 4
12.0,Xperience Team,19,7,1,6,7,10,0,6,0,Lobby 4
13.0,Unsigned Talent,16,11,7,10,2,9,2,19,0,Lobby 4
14.0,DMAGO,10,12,2,14,4,13,0,13,0,Lobby 4
15.0,JustSomeWarriors,5,13,3,16,0,14,0,17,0,Lobby 4
16.0,Down Bad,5,16,0,17,0,7,0,10,0,Lobby 4
17.0,The leftovers,3,17,1,18,0,17,2,16,0,Lobby 4
18.0,OutofPocketGamer,3,18,0,20,0,15,0,12,1,Lobby 4
19.0,F451,3,10,0,15,0,16,0,18,0,Lobby 4
20.0,StepBros,2,19,0,11,0,11,0,20,0,Lobby 4
