,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 26, 2022 - 14:00 JSTWorld's Edge RUDENS Esports Team Nemophila No1Apexer","Round 1 Round 1 March 26, 2022 - 14:00 JSTWorld's Edge RUDENS Esports Team Nemophila No1Apexer","Round 2 Round 2 March 26, 2022 - 14:30 JSTWorld's Edge KIZUNA GAMING LFT VMJ Nebula e-Sports","Round 2 Round 2 March 26, 2022 - 14:30 JSTWorld's Edge KIZUNA GAMING LFT VMJ Nebula e-Sports","Round 3 Round 3 March 26, 2022 - 15:00 JSTWorld's Edge No1Apexer GekiumaOkome TrinitiX Gaming","Round 3 Round 3 March 26, 2022 - 15:00 JSTWorld's Edge No1Apexer GekiumaOkome TrinitiX Gaming","Round 4 Round 4 March 26, 2022 - 15:30 JSTStorm Point Miyaman No1Apexer KIZUNA GAMING","Round 4 Round 4 March 26, 2022 - 15:30 JSTStorm Point Miyaman No1Apexer KIZUNA GAMING","Round 5 Round 5 March 26, 2022 - 16:00 JSTStorm Point GekiumaOkome RUDENS Esports Shinpeisyougun","Round 5 Round 5 March 26, 2022 - 16:00 JSTStorm Point GekiumaOkome RUDENS Esports Shinpeisyougun","Round 6 Round 6 March 26, 2022 - 16:30 JSTStorm Point NEVIS Shinpeisyougun RUDENS Esports","Round 6 Round 6 March 26, 2022 - 16:30 JSTStorm Point NEVIS Shinpeisyougun RUDENS Esports"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,N1A,78,3,7,6,2,1,12,2,11,6,7,10,3
1,2.0,NES,65,12,4,3,18,16,2,15,2,4,11,5,10
2,3.0,RDNS,63,1,12,8,1,7,0,16,0,2,10,3,7
3,4.0,GEKI,51,9,1,4,6,2,11,20,0,1,5,20,0
4,5.0,VMJ,50,8,8,2,9,10,6,14,1,14,3,9,6
5,6.0,KZG,45,10,0,1,10,14,0,3,12,17,0,11,0
6,7.0,MIYAM,43,4,3,11,2,19,0,1,12,12,5,12,1
7,8.0,NVS,39,15,0,13,1,20,0,4,4,7,3,1,9
8,9.0,KWZ,36,16,9,19,0,9,9,5,2,18,1,8,7
9,10.0,N2H,34,7,6,20,1,5,2,8,3,5,5,6,1
10,11.0,HGC,32,6,4,7,1,15,4,9,7,10,0,14,4
11,12.0,AXIZ,23,5,2,12,0,4,2,13,2,15,0,7,2
12,13.0,RGS,22,18,0,15,0,17,0,7,0,3,1,2,1
13,14.0,NEMO,19,2,1,14,3,8,0,10,0,16,0,13,0
14,15.0,TXG,15,11,0,18,0,3,4,11,1,13,0,18,0
15,16.0,Trinity,13,20,0,17,0,13,1,6,0,19,0,4,3
16,17.0,ETOLS,12,13,0,5,0,6,1,19,0,9,1,16,0
17,18.0,FAFAFA,11,17,0,10,4,18,0,12,0,20,0,15,3
18,19.0,STY,10,19,1,16,0,12,0,18,0,8,6,19,0
19,20.0,NT,7,14,1,9,0,11,0,17,0,11,1,17,0
