Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,ZBW,66,14,0,1,10,2,7,12,2,2,14,15,0,Lobby 1
2.0,CG,62,1,14,5,4,9,3,9,4,3,9,14,0,Lobby 1
3.0,SYND,50,10,0,3,9,6,3,1,8,12,2,16,3,Lobby 1
4.0,Ratio,47,12,1,4,7,4,6,5,5,10,3,5,4,Lobby 1
5.0,XD,47,9,1,18,0,3,12,16,0,4,3,2,8,Lobby 1
6.0,POLSKA,47,4,8,6,1,1,10,7,3,17,0,11,1,Lobby 1
7.0,Better,47,3,7,13,0,10,1,10,2,13,0,1,12,Lobby 1
8.0,VEX,37,5,7,11,1,16,0,2,10,14,0,13,3,Lobby 1
9.0,Lost,37,2,7,10,3,17,1,4,4,8,0,9,2,Lobby 1
10.0,LPOG,31,16,0,7,2,15,1,3,4,9,4,7,4,Lobby 1
11.0,Monarchs,29,15,0,20,0,5,0,17,0,11,5,3,11,Lobby 1
12.0,drain,28,8,2,17,0,11,1,14,4,1,3,10,0,Lobby 1
13.0,Oui,27,13,0,2,7,8,2,11,0,6,0,12,1,Lobby 1
14.0,b0ts,21,11,3,15,1,13,3,20,0,7,4,6,1,Lobby 1
15.0,HLDC,20,20,0,16,5,14,1,8,6,15,3,18,1,Lobby 1
16.0,KRY,18,6,2,9,0,7,5,13,2,18,0,17,0,Lobby 1
17.0,FFF,17,18,0,12,3,12,0,6,6,16,0,8,1,Lobby 1
18.0,0head genk,10,17,0,19,0,18,0,18,0,5,1,4,0,Lobby 1
19.0,SeXy Chonks,8,7,2,14,1,19,0,15,0,19,0,20,0,Lobby 1
20.0,TRJ,7,19,0,8,5,20,0,19,0,20,0,20,0,Lobby 1
1.0,UTFT,62,1,8,5,4,2,7,18,0,2,8,17,1,Lobby 2
2.0,BGTTS,54,3,7,20,0,11,0,1,13,20,0,4,9,Lobby 2
3.0,SNK,51,11,1,3,6,9,4,6,6,8,3,3,9,Lobby 2
4.0,BBG,51,14,1,2,5,4,1,8,1,3,3,1,4,Lobby 2
5.0,ARIS,47,15,2,4,4,3,4,16,0,1,8,6,1,Lobby 2
6.0,P4C,39,4,3,6,5,10,2,9,7,7,4,10,1,Lobby 2
7.0,NIBL,38,2,3,14,1,6,4,7,4,4,4,15,0,Lobby 2
8.0,Gachi,37,5,1,13,1,14,3,15,4,11,8,5,8,Lobby 2
9.0,BFG,35,7,5,7,3,13,3,5,6,12,0,8,4,Lobby 2
10.0,NBB,35,20,0,18,0,1,7,3,3,5,2,16,0,Lobby 2
11.0,YK,33,6,6,1,6,19,0,14,0,16,0,9,3,Lobby 2
12.0,OverWolf,30,12,0,10,6,8,3,4,4,10,5,20,0,Lobby 2
13.0,BLANK,28,10,2,15,5,15,0,10,2,19,0,2,4,Lobby 2
14.0,Tartau,26,9,4,16,1,7,9,17,0,9,3,13,1,Lobby 2
15.0,DNMK,21,16,0,9,2,12,0,2,6,13,0,19,0,Lobby 2
16.0,TNM,17,19,0,17,0,5,1,13,0,6,3,7,2,Lobby 2
17.0,PS_Esport,13,13,2,19,3,20,2,12,0,18,3,14,0,Lobby 2
18.0,KG,11,8,3,12,1,16,3,19,0,17,0,18,1,Lobby 2
19.0,SPPI,10,17,0,8,0,17,0,11,0,14,0,11,5,Lobby 2
20.0,Broken,6,18,0,11,1,18,0,20,0,15,0,12,2,Lobby 2
