,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 January 23, 2022 - 17:00 ESTWorld's Edge NRG Pittsburgh Knights TSM","Round 1 Round 1 January 23, 2022 - 17:00 ESTWorld's Edge NRG Pittsburgh Knights TSM","Round 2 Round 2 January 23, 2022 - 17:35 ESTWorld's Edge Noble Premier Renegades","Round 2 Round 2 January 23, 2022 - 17:35 ESTWorld's Edge Noble Premier Renegades","Round 3 Round 3 January 23, 2022 - 18:10 ESTWorld's Edge G2 Esports Torrent Renegades","Round 3 Round 3 January 23, 2022 - 18:10 ESTWorld's Edge G2 Esports Torrent Renegades","Round 4 Round 4 January 23, 2022 - 18:45 ESTWorld's Edge TSM Esports Arena Sentinels","Round 4 Round 4 January 23, 2022 - 18:45 ESTWorld's Edge TSM Esports Arena Sentinels","Round 5 Round 5 January 23, 2022 - 19:20 ESTWorld's Edge Torrent Premier DubblyewMatch Points Eligible","Round 5 Round 5 January 23, 2022 - 19:20 ESTWorld's Edge Torrent Premier DubblyewMatch Points Eligible","Round 6 Round 6 January 23, 2022 - 19:55 ESTWorld's Edge Sentinels Cloud9 NRGMatch Points Eligible","Round 6 Round 6 January 23, 2022 - 19:55 ESTWorld's Edge Sentinels Cloud9 NRGMatch Points Eligible","Round 7 Round 7 January 23, 2022 - 19:55 ESTWorld's Edge TSM Renegades XSETMatch Points Eligible","Round 7 Round 7 January 23, 2022 - 19:55 ESTWorld's Edge TSM Renegades XSETMatch Points Eligible",MP #
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K,P,K,MP #
0,1.0,TSM,93,3,15,13,1,5,5,1,7,9,5,16,0,1,16,4
1,2.0,NRG,62,1,7,6,3,16,0,10,2,4,0,3,9,12,2,6
2,3.0,ESA,60,5,1,5,5,9,4,2,10,7,1,10,0,7,4,5
3,4.0,SEN,59,20,0,16,1,11,1,3,14,15,0,1,10,11,1,6
4,5.0,TOR,58,8,0,17,0,2,4,5,7,1,10,11,0,9,7,7
5,6.0,C9,58,19,4,11,0,15,1,13,5,6,10,2,11,4,5,7
6,7.0,PGG,54,13,0,2,11,7,3,20,0,2,7,7,4,8,2,6
7,8.0,G2,45,6,4,9,3,1,8,15,0,18,0,8,1,13,1,-
8,9.0,RNG,43,17,0,3,6,3,4,11,0,20,0,5,2,2,3,-
9,10.0,DY,41,4,7,14,0,14,6,12,0,3,4,15,2,6,2,-
10,11.0,TL,41,10,4,8,3,10,3,6,1,8,6,9,2,5,5,-
11,12.0,COL,35,7,2,10,9,8,6,18,1,11,0,20,0,10,3,-
12,13.0,SSG,32,12,0,4,3,12,5,8,3,13,0,12,5,19,0,-
13,14.0,FUR,28,15,2,15,0,4,6,4,7,19,0,14,0,18,0,-
14,15.0,NBL,26,16,1,1,8,13,0,16,2,12,1,19,0,17,0,-
15,16.0,PK,25,2,4,19,3,17,0,17,0,14,0,6,4,16,1,-
16,17.0,LZR,24,9,3,18,0,20,0,14,1,5,4,4,4,20,0,-
17,18.0,XSET,23,14,3,12,1,19,1,7,0,16,0,13,3,3,2,-
18,19.0,OXG,16,11,0,7,1,6,0,19,0,10,5,17,0,14,0,-
19,20.0,100T,11,18,0,20,0,18,0,9,2,17,2,18,0,15,1,-
