Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,BGTTS,47,13,5,12,1,2,15,7,12
2.0,DNMK,47,1,8,2,5,16,1,2,3
3.0,SNK,44,6,7,7,1,13,1,1,16
4.0,OverWolf,44,5,2,1,11,5,0,4,6
5.0,SPPI,35,4,4,9,2,6,7,5,8
6.0,P4C,35,2,8,13,3,4,4,6,2
7.0,KG,31,3,5,8,5,8,8,10,0
8.0,BFG,25,18,3,5,2,10,1,3,6
9.0,Broken,20,12,0,10,6,7,5,8,1
10.0,Reset,18,10,2,6,5,11,4,11,0
11.0,BW,18,8,6,3,1,15,0,14,0
12.0,BLANK,18,19,0,20,0,1,4,9,0
13.0,Basherz,15,9,4,14,0,12,3,17,4
14.0,Hangover,10,15,1,18,0,3,1,19,0
15.0,SVR,9,11,0,17,0,9,5,13,0
16.0,THROW,8,17,0,16,6,17,0,12,1
17.0,SLAP,8,20,0,4,2,20,0,15,0
18.0,SMG,7,7,0,15,3,18,0,18,0
19.0,MMG,3,14,1,11,0,19,0,16,0
20.0,Vtuber,1,16,0,19,0,14,0,20,0
