A vs C StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,SNG,82,1,13,11,4,13,6,9,7,3,4,1,13
2.0,BHT,59,4,2,1,8,9,3,2,14,19,0,5,0
3.0,DYN,55,3,12,5,1,1,12,18,0,6,3,12,0
4.0,WILD,53,2,3,15,0,2,9,4,1,13,0,7,12
5.0,MVP,50,17,0,16,3,10,5,12,3,2,12,3,8
6.0,KZN,41,16,0,7,6,6,2,1,10,11,3,14,0
7.0,FSN,40,9,5,9,4,3,5,5,6,10,3,16,0
8.0,SKC,39,8,8,14,4,16,0,10,4,20,0,2,9
9.0,DC,36,13,2,10,2,8,1,15,1,1,9,6,0
10.0,SBK,31,6,5,3,1,18,0,11,1,7,4,9,4
11.0,Love Egirls,29,19,0,4,11,11,0,6,2,14,3,10,1
12.0,Slav Animals,29,7,4,12,3,15,4,7,3,5,3,17,0
13.0,OF,29,14,0,8,6,5,3,8,0,4,4,11,1
14.0,TC,23,10,2,20,0,4,7,14,0,8,0,13,3
15.0,AIM,21,15,0,19,0,12,0,3,2,12,0,4,4
16.0,DGL,17,5,0,6,4,17,0,13,2,18,3,20,0
17.0,NG,17,12,2,2,3,19,0,20,1,16,0,15,0
18.0,ElemenT,10,20,0,17,0,7,1,16,3,15,2,18,0
19.0,SLU,10,11,1,13,1,20,1,19,0,9,3,19,0
20.0,PTD,5,18,0,18,0,14,0,17,0,17,0,8,2
