A vs B StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,SNG,71,3,12,14,0,4,12,4,5,7,0,1,9
2.0,DFX,70,18,3,4,7,3,8,3,5,2,3,4,11
3.0,ELV,59,8,8,6,2,11,4,6,2,1,13,6,6
4.0,FL,53,15,3,12,3,8,4,2,11,4,11,8,1
5.0,FSN,51,2,7,1,8,13,0,14,0,14,1,2,2
6.0,DC,47,1,9,9,0,20,1,12,0,3,12,15,2
7.0,ODK,44,19,0,5,5,16,1,1,13,6,2,13,3
8.0,PTD,42,5,1,2,10,1,4,9,0,19,0,16,0
9.0,TK,32,7,5,16,3,19,1,17,0,5,3,12,12
10.0,BRZ,29,4,3,7,7,7,5,18,2,20,0,14,0
11.0,INS,26,13,0,11,1,2,6,7,0,16,2,18,3
12.0,KZN,26,6,2,15,0,10,2,8,5,11,0,3,1
13.0,USB,24,16,0,3,2,5,4,10,3,12,1,17,0
14.0,OF,21,9,0,8,2,9,0,5,2,10,1,9,2
15.0,ElemenT,20,11,1,17,3,6,3,15,0,18,3,5,1
16.0,AIM,18,17,0,10,2,12,3,16,3,15,3,11,2
17.0,BHT,10,20,0,19,0,15,0,11,2,9,0,7,1
18.0,Natural Killer,9,10,1,13,1,18,0,19,0,13,1,10,0
19.0,NG,7,12,0,18,0,14,0,13,1,8,1,19,0
20.0,No Org,3,14,1,20,0,17,0,20,0,17,0,20,1
