Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,WAT,68,4,7,2,12,3,17,4,6
2.0,Estrell,46,2,8,7,5,1,9,18,0
3.0,MDY,40,1,11,12,0,17,0,6,13
4.0,AU Skyrise,35,10,0,1,8,15,0,3,5
5.0,DNT,32,7,1,16,0,14,4,2,14
6.0,BOG,30,6,4,8,3,10,1,1,3
7.0,Sunda Gaming,25,17,3,5,12,11,2,16,3
8.0,Sigma Gamers,25,20,1,15,0,2,9,9,3
9.0,RJININ,23,8,5,3,5,8,1,11,0
10.0,Job Seekers,22,3,5,4,0,18,0,7,2
11.0,Antiaa,18,11,3,9,0,6,3,5,2
12.0,ANgun,15,9,5,13,3,12,2,15,0
13.0,BTCxWGG,13,12,2,11,3,5,0,10,0
14.0,60 Hurtz,9,18,0,10,2,9,3,19,0
15.0,RebellioN,9,15,1,19,0,4,1,12,0
16.0,HAM,8,5,1,18,0,19,0,8,1
17.0,Team Shinigami,7,16,0,6,0,7,0,14,0
18.0,Speed,6,14,0,17,0,13,0,13,3
19.0,KINDOG,2,13,0,14,0,16,0,17,0
20.0,Exusiai,0,19,0,20,0,20,0,20,0
