Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,UNI,60,4,8,9,2,18,0,2,7,1,13,12,1
2.0,GMT,59,5,7,13,0,1,9,13,1,3,8,4,4
3.0,SSG,56,1,9,4,6,20,0,9,2,13,1,2,9
4.0,BRGR,47,6,3,2,6,9,2,12,2,2,10,20,0
5.0,V3,46,11,5,17,1,6,5,1,15,10,2,17,0
6.0,NRG,45,15,0,8,3,2,13,17,0,9,4,7,8
7.0,EMP,39,16,0,1,11,14,0,19,0,12,0,9,12
8.0,αDR,38,14,0,5,3,4,4,3,5,8,7,18,0
9.0,ELV,34,18,1,19,0,7,1,4,1,18,0,1,11
10.0,GW,32,2,6,6,8,19,0,15,0,15,0,13,3
11.0,FL,29,13,2,14,0,3,7,10,1,19,1,3,0
12.0,K1CK,29,19,0,15,2,13,4,7,5,4,5,15,2
13.0,PLRS,27,8,1,3,7,11,0,16,4,6,0,11,1
14.0,RC,22,3,4,20,0,16,1,8,5,14,1,14,0
15.0,E6,22,7,2,10,1,10,3,6,1,16,0,5,1
16.0,FCD,21,9,7,18,0,17,0,14,4,17,0,6,4
17.0,CLG,20,17,0,7,3,12,0,5,4,11,0,8,2
18.0,DEWA,19,10,1,12,4,5,6,20,0,20,0,19,1
19.0,TTM,19,20,0,11,0,8,1,11,1,7,6,10,2
20.0,ODK,12,12,0,16,4,15,0,18,1,5,1,16,0
