Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,HIT,67,5,3,2,11,17,0,14,4,1,5,2,9
2.0,shes,65,1,14,17,0,16,0,11,4,3,19,10,6
3.0,Fujii Gaming,61,17,0,1,11,3,7,2,6,13,6,8,0
4.0,EXiA KR,56,14,0,10,3,12,3,13,2,2,11,1,11
5.0,NrTv.Vs,46,7,4,12,3,1,12,9,2,6,0,9,2
6.0,OC,39,4,3,3,2,9,3,4,5,9,0,7,2
7.0,REAH,37,16,0,4,9,6,6,15,0,4,7,14,0
8.0,BEXT,35,9,6,8,5,13,3,5,8,20,0,16,4
9.0,Crest,35,8,0,7,4,4,6,3,6,8,0,17,0
10.0,YaBaL,35,10,4,15,0,7,1,1,11,14,0,19,0
11.0,KaisenDONDON,31,6,2,16,1,5,0,8,3,10,4,4,5
12.0,TSURUGI,29,19,0,5,3,2,7,7,2,16,0,15,0
13.0,LFT wax,25,2,5,20,0,8,4,18,0,15,0,13,3
14.0,ARK5,24,13,1,13,0,11,0,10,2,5,2,5,6
15.0,SyS,23,3,9,14,0,19,0,17,0,7,2,12,0
16.0,RAVENS,17,15,1,9,1,14,0,12,1,17,0,3,2
17.0,GENIUS,15,20,0,6,3,10,1,16,2,11,1,11,1
18.0,ScL,13,18,0,18,0,18,3,6,2,12,0,6,1
19.0,RAZE,9,11,3,11,0,15,0,19,0,18,0,18,3
20.0,NFM,2,12,0,19,0,20,0,20,0,19,1,20,0
