A vs B StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,EXO,67,2,14,9,1,4,9,13,5,20,0,1,9
2.0,TX,64,6,5,20,0,3,4,1,14,4,10,7,1
3.0,RIG,57,7,3,1,14,13,2,11,1,2,9,15,1
4.0,KAK,57,9,4,2,7,7,5,14,0,3,5,3,7
5.0,ATH,56,3,4,7,3,2,6,7,2,11,1,2,8
6.0,STK,50,1,7,3,3,10,2,6,4,19,0,5,6
7.0,DNZ,41,8,0,5,8,5,1,16,0,1,9,12,0
8.0,M2M,36,13,3,15,0,1,13,15,1,15,0,19,3
9.0,RET,36,5,6,11,0,15,0,9,7,9,3,4,5
10.0,PK,35,4,2,8,2,6,1,10,6,7,8,18,1
11.0,Estrell,30,10,2,4,7,19,0,3,1,13,0,10,3
12.0,GS,27,20,0,6,4,12,3,5,4,5,2,14,1
13.0,EVO BERZ,23,12,1,13,1,14,1,2,7,14,0,20,0
14.0,Pavlova,17,15,0,14,2,9,1,12,0,8,4,11,2
15.0,WAT,12,18,3,18,1,11,3,20,0,17,0,9,2
16.0,AMG TW,12,14,0,17,1,8,1,8,2,10,0,13,0
17.0,StrawberryJam,11,19,0,12,0,20,0,4,3,18,0,8,0
18.0,Xenomorph,11,17,0,10,2,17,0,19,0,6,2,17,2
19.0,NXL,10,16,0,19,0,18,2,17,0,16,1,6,4
20.0,PHN,3,11,0,16,0,16,1,18,0,12,0,16,0
