B vs C StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,RIG,117,1,9,1,9,3,4,1,12,1,12,5,12
2.0,MDY,42,17,4,8,1,1,13,16,0,13,3,8,4
3.0,WHIZ,41,19,0,2,9,6,4,14,0,5,6,9,3
4.0,WGG,41,2,5,13,2,8,7,17,3,10,3,6,4
5.0,GS,37,8,5,18,1,5,3,9,3,3,6,18,4
6.0,DF,36,13,0,11,0,4,0,20,0,18,3,1,14
7.0,RL.XV,35,6,3,3,9,13,1,11,1,15,3,7,2
8.0,BRP,34,4,4,6,3,7,5,5,3,6,1,19,0
9.0,STB,32,20,1,5,6,18,0,13,3,2,8,17,0
10.0,ITR,30,10,1,4,5,20,0,4,2,17,1,4,4
11.0,MON,29,7,1,15,1,9,6,8,2,14,0,2,1
12.0,PG,28,11,0,12,2,19,0,3,11,11,1,11,3
13.0,WAT,26,12,4,17,0,10,0,12,3,8,3,3,3
14.0,M2M,25,5,11,14,1,16,1,15,1,9,2,14,0
15.0,EVO BERZ,25,15,1,9,4,17,0,2,5,12,1,15,0
16.0,Estrell,24,3,2,10,1,14,2,6,3,19,0,13,2
17.0,Pavlova,23,18,1,7,1,2,4,18,0,7,0,10,0
18.0,Xenomorph,16,16,0,19,1,15,0,7,1,4,4,16,1
19.0,NXL,14,9,0,20,0,12,1,10,4,20,1,12,2
20.0,PHN,12,14,2,16,0,11,8,19,0,16,0,20,0
