,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 May 08, 2022 - 16:15 PDTStorm Point Sentinels HCH XSET","Round 1 Round 1 May 08, 2022 - 16:15 PDTStorm Point Sentinels HCH XSET","Round 2 Round 2 May 08, 2022 - 16:50 PDTStorm Point G-Force Unlucky Sentinels","Round 2 Round 2 May 08, 2022 - 16:50 PDTStorm Point G-Force Unlucky Sentinels","Round 3 Round 3 May 08, 2022 - 17:25 PDTStorm Point HCH FURIA Esports Unlucky","Round 3 Round 3 May 08, 2022 - 17:25 PDTStorm Point HCH FURIA Esports Unlucky","Round 4 Round 4 May 08, 2022 - 18:00 PDTWorld's Edge Elev8 Entertainment FURIA Esports G2 Esports","Round 4 Round 4 May 08, 2022 - 18:00 PDTWorld's Edge Elev8 Entertainment FURIA Esports G2 Esports","Round 5 Round 5 May 08, 2022 - 18:35 PDTWorld's Edge FURIA Esports Sentinels FreeAgents","Round 5 Round 5 May 08, 2022 - 18:35 PDTWorld's Edge FURIA Esports Sentinels FreeAgents","Round 6 Round 6 May 08, 2022 - 19:10 PDTWorld's Edge Elev8 Entertainment Complexity Gaming Renegades","Round 6 Round 6 May 08, 2022 - 19:10 PDTWorld's Edge Elev8 Entertainment Complexity Gaming Renegades"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,FUR,73,15,1,19,3,2,6,2,9,1,8,4,0
1,2.0,E8,71,9,7,8,5,6,0,1,7,8,2,1,16
2,3.0,HCH,71,2,6,4,3,1,10,6,1,6,7,5,1
3,4.0,SEN,52,1,4,3,8,17,0,13,0,2,7,13,3
4,5.0,UNL,50,4,0,2,7,3,8,16,2,7,1,17,0
5,6.0,G2,43,12,3,13,5,7,12,3,4,15,0,9,4
6,7.0,GFORCE,43,6,8,1,10,18,1,11,3,16,0,11,4
7,8.0,RNG,43,8,4,12,0,11,2,8,7,12,5,3,5
8,9.0,COL,31,11,3,6,2,12,0,9,2,14,0,2,7
9,10.0,TRP,30,17,1,20,0,15,0,4,13,17,3,18,3
10,11.0,TOR,30,5,3,11,0,4,1,10,1,13,5,12,3
11,12.0,DY,29,16,0,7,3,5,2,12,0,11,0,15,5
12,13.0,FA,28,14,2,17,0,10,4,15,0,3,3,10,4
13,14.0,XSET,26,3,3,15,0,16,1,19,0,4,6,14,2
14,15.0,NM,25,7,4,16,0,8,3,7,2,10,3,7,0
15,16.0,SHEESH,21,18,0,10,0,14,3,5,0,5,4,6,0
16,17.0,LZR,15,10,5,18,0,13,2,14,4,18,0,19,0
17,18.0,CLT,15,19,0,14,2,20,0,17,2,19,0,8,3
18,19.0,SUP,14,13,0,5,6,19,1,20,0,9,0,16,0
19,20.0,CAS,9,20,1,9,0,9,4,18,0,20,0,20,0
