,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 16, 2021 - 16:00 EDTWorld's Edge Sentinels Noble Senior Service","Round 1 Round 1 October 16, 2021 - 16:00 EDTWorld's Edge Sentinels Noble Senior Service","Round 2 Round 2 October 16, 2021 - 16:35 EDTWorld's Edge eRa Eternity Lazarus Senior Service","Round 2 Round 2 October 16, 2021 - 16:35 EDTWorld's Edge eRa Eternity Lazarus Senior Service","Round 3 Round 3 October 16, 2021 - 17:10 EDTWorld's Edge Sentinels Complexity Gaming Lazarus","Round 3 Round 3 October 16, 2021 - 17:10 EDTWorld's Edge Sentinels Complexity Gaming Lazarus","Round 4 Round 4 October 16, 2021 - 17:45 EDTWorld's Edge Legacy MX Renegades BenchWarmers","Round 4 Round 4 October 16, 2021 - 17:45 EDTWorld's Edge Legacy MX Renegades BenchWarmers","Round 5 Round 5 October 16, 2021 - 18:20 EDTWorld's Edge SXG Sentinels Oxygen Esports","Round 5 Round 5 October 16, 2021 - 18:20 EDTWorld's Edge SXG Sentinels Oxygen Esports","Round 6 Round 6 October 16, 2021 - 18:55 EDTWorld's Edge Noble Premier Complexity Gaming","Round 6 Round 6 October 16, 2021 - 18:55 EDTWorld's Edge Noble Premier Complexity Gaming"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,SEN,92,1,8,8,8,1,12,6,4,2,10,8,10
1,2.0,NBL,58,2,6,20,0,4,4,4,3,9,2,1,10
2,3.0,SXG,48,15,0,7,11,19,0,18,3,1,17,11,0
3,4.0,RNG,46,7,3,15,0,10,6,2,4,6,9,7,3
4,5.0,LZR,44,11,5,2,5,3,1,5,2,7,1,4,1
5,6.0,PGG,41,4,7,4,1,17,0,12,3,14,0,2,9
6,7.0,COL,39,5,4,14,1,2,5,13,0,13,1,3,5
7,8.0,ERA,38,14,1,1,9,14,3,10,6,12,1,15,0
8,9.0,SNRS,31,3,7,3,2,5,2,14,0,17,1,20,0
9,10.0,LMX,29,13,0,5,0,11,1,1,8,11,1,16,0
10,11.0,DY,26,9,0,13,0,7,7,9,0,8,1,5,4
11,12.0,NRG,25,10,1,18,0,18,0,11,11,16,9,13,0
12,13.0,BW,25,18,0,9,4,16,0,3,5,10,0,12,4
13,14.0,OXG,22,16,3,19,2,12,2,8,0,3,1,14,3
14,15.0,GHOST,21,12,0,10,4,9,3,20,0,20,0,6,6
15,16.0,UNL,18,8,3,17,1,15,3,19,0,4,1,9,0
16,17.0,BBG,17,19,2,16,4,6,5,17,0,15,0,19,2
17,18.0,TOR,15,20,1,12,0,8,1,16,2,5,2,10,0
18,19.0,EST,14,17,0,6,2,13,1,7,3,18,1,17,0
19,20.0,RT,13,6,4,11,3,20,0,15,1,19,0,18,0
