B vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,STK,58,3,11,13,0,5,4,12,1,2,5,3,8
2.0,FA,54,20,0,1,9,11,4,16,0,6,4,1,9
3.0,RIG,53,17,3,5,15,14,7,19,0,12,3,2,10
4.0,SNG,53,5,6,4,6,1,8,9,2,7,1,6,1
5.0,EXO,44,13,0,12,2,10,3,1,12,8,1,4,3
6.0,NXL,43,11,4,2,7,12,1,7,4,11,0,5,8
7.0,ANT,39,1,5,10,5,7,3,8,5,16,1,14,0
8.0,EMM,38,18,0,20,0,2,12,5,4,9,6,13,0
9.0,LU,35,2,10,7,0,17,2,11,7,19,0,10,1
10.0,NLN,35,19,0,18,3,9,5,13,3,1,7,12,1
11.0,OC,34,16,0,14,0,6,6,2,3,5,7,14,0
12.0,DNZ,30,9,0,17,0,8,6,17,0,3,12,11,0
13.0,FW,25,12,4,9,0,18,0,4,6,15,6,20,0
14.0,BWS,25,4,3,16,0,15,0,3,7,14,1,19,0
15.0,DML,25,10,1,3,4,3,0,14,1,10,0,17,0
16.0,Antiaa,24,7,2,11,1,19,0,20,2,4,1,8,7
17.0,ATH,18,15,3,8,4,13,1,18,0,17,0,7,3
18.0,MBTN,14,8,4,6,1,16,0,6,1,18,0,16,0
19.0,DNN,11,14,0,19,0,4,0,10,0,20,0,18,3
20.0,DYN,11,6,0,15,0,20,0,15,0,13,0,9,3
