,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 January 9, 2022 - 14:00 GMTWorld's Edge SSD UpRising 6 banok na troih","Round 1 Round 1 January 9, 2022 - 14:00 GMTWorld's Edge SSD UpRising 6 banok na troih","Round 2 Round 2 January 9, 2022 - 14:30 GMTWorld's Edge T-Rex Phoenix Legacy SSD","Round 2 Round 2 January 9, 2022 - 14:30 GMTWorld's Edge T-Rex Phoenix Legacy SSD","Round 3 Round 3 January 9, 2022 - 15:00 GMTWorld's Edge AllPlanned T-Rex soloQgoats","Round 3 Round 3 January 9, 2022 - 15:00 GMTWorld's Edge AllPlanned T-Rex soloQgoats","Round 4 Round 4 January 9, 2022 - 15:30 GMTWorld's Edge 1872 Team Huskies Esports T-Rex","Round 4 Round 4 January 9, 2022 - 15:30 GMTWorld's Edge 1872 Team Huskies Esports T-Rex","Round 5 Round 5 January 9, 2022 - 16:00 GMTWorld's Edge Fenerbahçe Esports Chichivica T-Rex","Round 5 Round 5 January 9, 2022 - 16:00 GMTWorld's Edge Fenerbahçe Esports Chichivica T-Rex","Round 6 Round 6 January 9, 2022 - 16:30 GMTWorld's Edge T-Rex soloQgoats Priests","Round 6 Round 6 January 9, 2022 - 16:30 GMTWorld's Edge T-Rex soloQgoats Priests"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,TREX,96,16,1,1,11,2,4,3,8,3,7,1,15
1,2.0,RAT,57,17,0,15,6,6,2,5,14,4,11,20,2
2,3.0,PXL,56,4,1,2,9,7,5,4,1,11,2,17,5
3,4.0,FB,46,8,2,5,6,11,3,9,4,1,7,12,2
4,5.0,SQG,45,14,4,12,0,3,8,10,3,16,0,2,10
5,6.0,SSD,45,1,9,3,7,18,1,8,2,17,0,7,0
6,7.0,AP,41,12,4,7,3,1,9,17,0,12,2,6,3
7,8.0,USG,41,2,11,8,3,12,0,13,0,8,1,13,3
8,9.0,CHI,39,10,3,11,3,4,6,12,0,2,8,15,0
9,10.0,PRSTS,36,11,3,4,2,14,3,6,5,13,3,3,2
10,11.0,1872,36,6,9,16,0,17,0,1,6,15,2,10,0
11,12.0,SMS,35,15,1,18,0,9,6,15,0,6,7,4,4
12,13.0,SJP2,31,19,1,10,3,5,3,11,2,10,0,5,3
13,14.0,HKE,27,7,3,17,0,19,0,2,5,5,0,9,1
14,15.0,GOD,24,5,2,14,0,10,2,19,0,9,3,18,4
15,16.0,CLQ,23,9,0,9,2,8,3,18,2,7,6,11,0
16,17.0,SCTA,17,13,0,13,0,16,0,7,3,19,1,19,0
17,18.0,6bnt,16,3,1,6,1,15,1,14,0,14,0,16,0
18,19.0,CRAZYx3,11,20,2,19,0,13,2,16,4,20,0,8,0
19,20.0,ZBW,7,18,0,20,0,20,0,20,0,18,0,14,6
